term	df	idf
scallops	42	4.901033
scaloppine	1	8.638703
scalp	1	8.638703
scampi	8	6.559261
scandinavian	1	8.638703
scant	15	5.930652
scantily	1	8.638703
scape	1	8.638703
scaping	1	8.638703
scary	1	8.638703
scatter	33	5.142195
scattered	1	8.638703
scattering	1	8.638703
scd	3	7.540090
scented	2	7.945555
scharffen	1	8.638703
schnapps	13	6.073753
school	1	8.638703
schopf	1	8.638703
schwartz	1	8.638703
science	1	8.638703
scissor	1	8.638703
scissors	3	7.540090
scone	8	6.559261
scones	30	5.237505
scoop	114	3.902504
scoope	1	8.638703
scooped	2	7.945555
scoopfuls	1	8.638703
scooping	4	7.252408
scoops	10	6.336118
scoot	1	8.638703
scorch	9	6.441478
scorching	6	6.846943
score	21	5.594180
scored	2	7.945555
scoring	1	8.638703
scotch	10	6.336118
scottish	7	6.692792
scramble	16	5.866114
scrambled	14	5.999645
scrambling	1	8.638703
scrap	2	7.945555
scrape	105	3.984742
scraped	1	8.638703
scraper	4	7.252408
scraping	61	4.527829
scrapings	2	7.945555
scrapping	3	7.540090
scrapple	2	7.945555
scraps	10	6.336118
scratch	10	6.336118
screen	2	7.945555
screw	11	6.240807
screwed	1	8.638703
screwtop	1	8.638703
scrub	14	5.999645
scrubbed	15	5.930652
scrummy	1	8.638703
scuffles	2	7.945555
scum	1	8.638703
se	1	8.638703
sea	136	3.726048
seafood	40	4.949823
seal	172	3.491208
sealable	7	6.692792
sealed	21	5.594180
sealers	1	8.638703
sealing	9	6.441478
seals	2	7.945555
seam	37	5.027785
seams	4	7.252408
seaon	1	8.638703
seaoning	1	8.638703
sear	28	5.306498
search	1	8.638703
seared	15	5.930652
searing	3	7.540090
sears	1	8.638703
seas	1	8.638703
seaso	1	8.638703
season	501	2.422097
seasonal	8	6.559261
seasoned	138	3.711449
seasoning	542	2.343437
seasonings	152	3.614822
seasoniongs	1	8.638703
seasonning	1	8.638703
seasons	5	7.029265
seattle	1	8.638703
seaweed	4	7.252408
sec	25	5.419827
second	108	3.956571
secondly	1	8.638703
seconds	248	3.125274
secret	10	6.336118
secrets	1	8.638703
section	23	5.503208
sectioned	3	7.540090
sections	16	5.866114
secure	36	5.055184
securely	12	6.153796
securing	1	8.638703
sediment	1	8.638703
seed	178	3.456919
seeded	166	3.526715
seeding	1	8.638703
seedless	23	5.503208
seeds	439	2.554203
seems	34	5.112342
seep	3	7.540090
sees	1	8.638703
segment	1	8.638703
segmented	4	7.252408
segments	19	5.694264
seitan	6	6.846943
seize	1	8.638703
seizes	1	8.638703
sel	3	7.540090
sela	1	8.638703
select	15	5.930652
selection	3	7.540090
self	69	4.404596
sells	1	8.638703
semi	81	4.244253
semicircles	1	8.638703
semisweet	50	4.726680
semolina	10	6.336118
sensation	1	8.638703
sensational	1	8.638703
sense	2	7.945555
sensibly	1	8.638703
sensitive	2	7.945555
separate	244	3.141534
separated	53	4.668411
separately	29	5.271407
separates	3	7.540090
separating	11	6.240807
separator	1	8.638703
separete	1	8.638703
separte	1	8.638703
seperate	20	5.642970
seperated	3	7.540090
seperately	3	7.540090
seperation	1	8.638703
seperatly	1	8.638703
seran	1	8.638703
serrano	23	5.503208
serrated	25	5.419827
servce	1	8.638703
serves	37	5.027785
servewear	1	8.638703
service	2	7.945555
serviette	3	7.540090
servings	72	4.362036
sesame	317	2.879801
sesami	1	8.638703
sesasoning	1	8.638703
sets	4	7.252408
settings	1	8.638703
settle	7	6.692792
settled	1	8.638703
settles	1	8.638703
settling	1	8.638703
seve	1	8.638703
seven	13	6.073753
seventh	2	7.945555
sever	1	8.638703
several	120	3.851211
severed	1	8.638703
seving	1	8.638703
sew	1	8.638703
sex	2	7.945555
sfinj	1	8.638703
shabu	1	8.638703
shade	2	7.945555
shaggy	3	7.540090
shahi	1	8.638703
shake	160	3.563529
shaken	4	7.252408
shakened	1	8.638703
shaker	28	5.306498
shakes	6	6.846943
shaking	26	5.380606
shakshuka	1	8.638703
shaky	1	8.638703
shallot	74	4.334638
shallots	128	3.786672
shallow	202	3.330435
shallowly	1	8.638703
shalom	1	8.638703
shampoo	2	7.945555
shank	5	7.029265
shanks	12	6.153796
shao	1	8.638703
shaoxing	2	7.945555
shape	216	3.263424
shaped	35	5.083355
shaper	1	8.638703
shapes	25	5.419827
shaping	6	6.846943
shards	1	8.638703
share	1	8.638703
shared	1	8.638703
shareya	1	8.638703
shark	3	7.540090
sharp	151	3.621423
sharpened	1	8.638703
sharpest	1	8.638703
shatanay	1	8.638703
shauna	1	8.638703
shave	1	8.638703
shaved	18	5.748331
shaving	3	7.540090
shavings	5	7.029265
shea	3	7.540090
shears	1	8.638703
sheep	1	8.638703
sheer	1	8.638703
sheese	1	8.638703
sheet	562	2.307201
sheeter	1	8.638703
sheetpan	1	8.638703
sheets	174	3.479647
shelf	6	6.846943
shell	116	3.885112
shelled	26	5.380606
shellfish	2	7.945555
shells	96	4.074354
shepherd	11	6.240807
sherbert	2	7.945555
sherbet	16	5.866114
sherried	3	7.540090
sherry	109	3.947355
shhhh	1	8.638703
shield	1	8.638703
shifting	2	7.945555
shiitake	22	5.547660
shiitakes	2	7.945555
shikshuka	1	8.638703
shimmer	1	8.638703
shimmering	9	6.441478
shimmers	4	7.252408
shin	1	8.638703
shine	3	7.540090
shiner	1	8.638703
shiny	24	5.460649
shiratama	2	7.945555
shirley	1	8.638703
shirt	1	8.638703
shish	1	8.638703
shitake	6	6.846943
shitakes	1	8.638703
shittake	1	8.638703
shmaltz	1	8.638703
shoarma	2	7.945555
shock	3	7.540090
shoe	2	7.945555
shoepeg	2	7.945555
shoestring	1	8.638703
shoo	1	8.638703
shoot	2	7.945555
shooter	1	8.638703
shoots	5	7.029265
shop	3	7.540090
shops	1	8.638703
shor	1	8.638703
short	46	4.810061
shortbread	15	5.930652
shortcake	1	8.638703
shortcrust	3	7.540090
shortcut	1	8.638703
shortcuts	2	7.945555
shortening	180	3.445746
shortens	1	8.638703
shorter	5	7.029265
shortly	5	7.029265
shot	10	6.336118
shots	7	6.692792
shoulder	23	5.503208
shouldn	6	6.846943
shovel	2	7.945555
shower	4	7.252408
shows	1	8.638703
shoyu	4	7.252408
shread	1	8.638703
shreadded	1	8.638703
shred	58	4.578260
shredded	761	2.004069
shredder	2	7.945555
shredding	2	7.945555
shreds	9	6.441478
shrimp	330	2.839610
shrimps	4	7.252408
shrink	5	7.029265
shrip	1	8.638703
shrivel	1	8.638703
shrivelled	1	8.638703
shrooms	1	8.638703
shrtening	1	8.638703
shu	1	8.638703
shuck	4	7.252408
shucks	1	8.638703
shut	5	7.029265
shy	3	7.540090
sichuan	6	6.846943
sicilian	7	6.692792
side	634	2.186654
sided	19	5.694264
sides	529	2.367714
siegel	1	8.638703
sieve	58	4.578260
sieved	4	7.252408
sift	188	3.402261
sifted	104	3.994312
sifter	2	7.945555
sifting	1	8.638703
sight	1	8.638703
sightly	3	7.540090
sign	1	8.638703
signal	2	7.945555
significantly	1	8.638703
signs	2	7.945555
silicon	4	7.252408
silicone	5	7.029265
silk	2	7.945555
silken	10	6.336118
silks	1	8.638703
silky	2	7.945555
sillet	1	8.638703
silpat	3	7.540090
silpats	1	8.638703
silver	10	6.336118
silverside	1	8.638703
silverskin	2	7.945555
similar	18	5.748331
similarly	4	7.252408
simmer	913	1.821967
simmered	4	7.252408
simmering	83	4.219862
simmers	17	5.805489
simple	47	4.788555
simplest	1	8.638703
simplified	1	8.638703
simplistic	1	8.638703
simply	29	5.271407
since	31	5.204715
sinew	2	7.945555
singapore	1	8.638703
single	100	4.033532
singles	1	8.638703
sink	18	5.748331
sinking	1	8.638703
sinks	2	7.945555
sinus	1	8.638703
sinuses	1	8.638703
sipulipiirakka	1	8.638703
sir	2	7.945555
siracusa	1	8.638703
sirloin	44	4.854513
sirracha	1	8.638703
sisters	1	8.638703
site	3	7.540090
sits	5	7.029265
siu	2	7.945555
six	43	4.877502
size	350	2.780769
sized	170	3.502904
sizer	1	8.638703
sizes	5	7.029265
sizzle	16	5.866114
sizzler	1	8.638703
sizzles	2	7.945555
sizzling	8	6.559261
skewer	41	4.925131
skewered	4	7.252408
skewers	38	5.001116
skilled	1	8.638703
skiller	1	8.638703
skillert	1	8.638703
skillet	873	1.866767
skillets	1	8.638703
skilllet	1	8.638703
skim	131	3.763505
skimmed	6	6.846943
skimmer	2	7.945555
skimming	7	6.692792
skims	1	8.638703
skin	169	3.508804
sking	1	8.638703
skinless	275	3.021932
skinned	38	5.001116
skinnier	1	8.638703
skinny	3	7.540090
skinnygirl	1	8.638703
skins	41	4.925131
skip	15	5.930652
skirt	10	6.336118
skitter	2	7.945555
skor	1	8.638703
skorthato	1	8.638703
skorv	1	8.638703
slab	7	6.692792
slabs	1	8.638703
slack	2	7.945555
slamon	1	8.638703
slap	1	8.638703
slaps	1	8.638703
slash	5	7.029265
slashes	4	7.252408
slather	2	7.945555
slathered	2	7.945555
slaw	14	5.999645
sleeve	5	7.029265
slender	2	7.945555
slice	429	2.577246
sliced	1157	1.585117
slicer	2	7.945555
slices	688	2.104914
slicing	35	5.083355
slick	1	8.638703
slicked	1	8.638703
slide	29	5.271407
slider	2	7.945555
sliders	2	7.945555
slides	1	8.638703
sliding	1	8.638703
slighly	2	7.945555
slight	11	6.240807
slightly	481	2.462835
sling	1	8.638703
slingle	1	8.638703
slip	6	6.846943
slipped	1	8.638703
slippery	1	8.638703
slips	1	8.638703
slit	16	5.866114
slits	21	5.594180
sliver	1	8.638703
slivered	45	4.832040
slivers	7	6.692792
slives	1	8.638703
sloppy	14	5.999645
slosh	1	8.638703
slotted	76	4.307969
slovenian	1	8.638703
slow	192	3.381207
slowcooker	1	8.638703
slowed	1	8.638703
slower	1	8.638703
slowly	250	3.117242
sludgy	1	8.638703
slum	1	8.638703
slurry	7	6.692792
slush	5	7.029265
slushies	1	8.638703
slushy	2	7.945555
sm	1	8.638703
smacking	1	8.638703
small	1513	1.316853
smaller	40	4.949823
smallish	2	7.945555
smalll	1	8.638703
smart	7	6.692792
smarties	1	8.638703
smash	13	6.073753
smashed	23	5.503208
smear	7	6.692792
smell	10	6.336118
smells	5	7.029265
smile	2	7.945555
smiles	1	8.638703
smith	28	5.306498
smithfield	2	7.945555
smiths	2	7.945555
sml	1	8.638703
smll	1	8.638703
smoke	61	4.527829
smoked	125	3.810389
smoker	9	6.441478
smokes	1	8.638703
smokey	3	7.540090
smokie	2	7.945555
smokies	4	7.252408
smoking	23	5.503208
smoky	12	6.153796
smoooth	1	8.638703
smooth	760	2.005384
smoother	4	7.252408
smoothie	31	5.204715
smoothies	1	8.638703
smoothing	7	6.692792
smoothly	3	7.540090
smoothness	1	8.638703
smothered	8	6.559261
smucker	2	7.945555
smuckers	1	8.638703
smush	2	7.945555
snack	11	6.240807
snacked	1	8.638703
snacks	4	7.252408
snake	1	8.638703
snap	12	6.153796
snapper	6	6.846943
snaps	2	7.945555
sneak	1	8.638703
sneaky	2	7.945555
snickerdoodle	4	7.252408
snickerdoodles	5	7.029265
snip	5	7.029265
snipped	28	5.306498
snippets	1	8.638703
snow	35	5.083355
snowball	1	8.638703
snowballs	2	7.945555
snowpeas	2	7.945555
snugly	3	7.540090
so	466	2.494517
soak	119	3.859579
soaked	49	4.746882
soaking	23	5.503208
soaks	4	7.252408
soap	8	6.559261
soapy	1	8.638703
soba	3	7.540090
socket	1	8.638703
sockeye	1	8.638703
socks	2	7.945555
soda	742	2.029353
sodium	131	3.763505
sofrito	2	7.945555
soft	505	2.414144
softball	2	7.945555
soften	100	4.033532
softened	500	2.424095
softenened	1	8.638703
softener	1	8.638703
softening	1	8.638703
softens	5	7.029265
softer	4	7.252408
softness	1	8.638703
sofy	1	8.638703
soggy	3	7.540090
soil	1	8.638703
sole	7	6.692792
solid	17	5.805489
solidification	1	8.638703
solidified	1	8.638703
solidify	2	7.945555
solids	12	6.153796
solstice	1	8.638703
solution	8	6.559261
some	302	2.928276
somehow	1	8.638703
someplace	1	8.638703
something	10	6.336118
sometime	1	8.638703
sometimes	32	5.172967
somewhat	14	5.999645
somewhere	2	7.945555
somtimes	1	8.638703
son	2	7.945555
soning	1	8.638703
sonoma	1	8.638703
sonsistently	1	8.638703
soon	26	5.380606
sooner	1	8.638703
sooooo	1	8.638703
sop	1	8.638703
sopa	2	7.945555
sopaipillas	1	8.638703
sopapilla	1	8.638703
sopping	1	8.638703
sorbet	12	6.153796
sorghum	9	6.441478
sorrentino	2	7.945555
sorriest	1	8.638703
sorry	3	7.540090
sort	5	7.029265
sorted	3	7.540090
sosaties	1	8.638703
sosie	1	8.638703
sosterkake	1	8.638703
souffl	5	7.029265
souffle	7	6.692792
souffles	3	7.540090
sough	1	8.638703
souie	1	8.638703
soul	2	7.945555
sound	2	7.945555
sounded	1	8.638703
sounds	8	6.559261
soup	859	1.882934
souper	3	7.540090
souperburger	1	8.638703
souperior	1	8.638703
soupier	1	8.638703
soupn	1	8.638703
soups	15	5.930652
soupy	5	7.029265
sour	768	1.994913
source	14	5.999645
sourcream	3	7.540090
sourdough	20	5.642970
soured	4	7.252408
south	14	5.999645
southern	25	5.419827
southwest	11	6.240807
southwestern	6	6.846943
souvlaki	2	7.945555
souza	1	8.638703
soy	548	2.332427
soya	7	6.692792
soybean	5	7.029265
soybeans	2	7.945555
soymilk	52	4.687459
space	33	5.142195
spaced	9	6.441478
spaces	2	7.945555
spacing	5	7.029265
spaetzle	2	7.945555
spag	1	8.638703
spagetti	1	8.638703
spaghetti	198	3.350436
spain	3	7.540090
spam	2	7.945555
spanakopita	3	7.540090
spanish	28	5.306498
sparay	1	8.638703
spare	2	7.945555
spareribs	14	5.999645
sparing	1	8.638703
sparingly	5	7.029265
sparked	1	8.638703
sparkling	3	7.540090
sparse	1	8.638703
sparsely	1	8.638703
sparyed	1	8.638703
spasagna	1	8.638703
spash	1	8.638703
spatter	1	8.638703
spattering	2	7.945555
spatual	1	8.638703
spatula	131	3.763505
spatulas	2	7.945555
spatulda	1	8.638703
spatzle	2	7.945555
spazzy	1	8.638703
spead	2	7.945555
speading	1	8.638703
spear	5	7.029265
speared	1	8.638703
spearmint	1	8.638703
spears	19	5.694264
special	13	6.073753
specially	1	8.638703
specialty	1	8.638703
specified	4	7.252408
specifies	1	8.638703
specify	2	7.945555
speck	1	8.638703
speckknodelsuppe	1	8.638703
speckle	1	8.638703
specks	1	8.638703
spectacular	1	8.638703
spectrum	1	8.638703
speculaas	1	8.638703
sped	1	8.638703
spedini	2	7.945555
spedinis	1	8.638703
speed	248	3.125274
speeds	1	8.638703
speedy	1	8.638703
spelt	16	5.866114
spends	1	8.638703
spice	155	3.595277
spiced	35	5.083355
spicer	1	8.638703
spices	209	3.296368
spicey	1	8.638703
spicier	2	7.945555
spiciness	1	8.638703
spicy	118	3.868018
spider	1	8.638703
spiderweb	1	8.638703
spiedino	1	8.638703
spike	2	7.945555
spiked	1	8.638703
spikes	1	8.638703
spill	1	8.638703
spillage	2	7.945555
spilling	1	8.638703
spills	2	7.945555
spin	4	7.252408
spinach	393	2.664893
spine	2	7.945555
spines	1	8.638703
sping	1	8.638703
spingform	1	8.638703
spings	1	8.638703
spinner	1	8.638703
spins	1	8.638703
spiral	12	6.153796
spirals	1	8.638703
spirelli	2	7.945555
spitting	1	8.638703
splash	12	6.153796
splatter	2	7.945555
splattering	3	7.540090
splatters	4	7.252408
splenda	90	4.138893
split	101	4.023582
splits	1	8.638703
splutter	2	7.945555
spluttering	1	8.638703
spokelike	1	8.638703
spokes	1	8.638703
spon	1	8.638703
sponge	17	5.805489
sponges	2	7.945555
spongiform	1	8.638703
spongy	3	7.540090
spook	1	8.638703
spoon	730	2.045658
spoonable	1	8.638703
spoonbread	1	8.638703
spooned	6	6.846943
spoonful	21	5.594180
spoonfulls	1	8.638703
spoonfuls	30	5.237505
spooning	10	6.336118
spoons	9	6.441478
spooon	1	8.638703
spot	9	6.441478
spots	9	6.441478
spout	1	8.638703
spouts	2	7.945555
sppacing	1	8.638703
spples	1	8.638703
spray	559	2.312553
sprayed	65	4.464315
spraying	4	7.252408
sprays	2	7.945555
spread	692	2.099117
spreadable	17	5.805489
spreader	2	7.945555
spreading	34	5.112342
spreads	6	6.846943
sprig	37	5.027785
sprigs	77	4.294897
sprikle	1	8.638703
sprinform	1	8.638703
spring	60	4.544358
springform	25	5.419827
springs	21	5.594180
springy	3	7.540090
sprinkel	1	8.638703
sprinkle	1202	1.546960
sprinkled	30	5.237505
sprinkles	26	5.380606
sprinkling	36	5.055184
sprinklings	1	8.638703
sprite	7	6.692792
spritz	11	6.240807
spritzer	1	8.638703
spritzing	1	8.638703
sprout	14	5.999645
sprouted	1	8.638703
sprouts	54	4.649719
sprynet	1	8.638703
spuds	2	7.945555
spun	2	7.945555
spurt	1	8.638703
sputter	2	7.945555
sputtering	1	8.638703
squamish	1	8.638703
square	123	3.826518
squared	1	8.638703
squares	142	3.682876
squash	144	3.668889
squashed	3	7.540090
squashes	1	8.638703
squeegee	1	8.638703
squeeze	99	4.043583
squeezed	60	4.544358
squeezes	1	8.638703
squeezing	9	6.441478
squid	17	5.805489
squidgy	1	8.638703
squirrel	2	7.945555
squirrels	1	8.638703
squirt	5	7.029265
squirts	1	8.638703
squish	6	6.846943
squished	1	8.638703
sray	1	8.638703
sriracha	6	6.846943
srpinkled	1	8.638703
st	3	7.540090
stab	2	7.945555
stabilize	2	7.945555
stabilized	1	8.638703
stack	24	5.460649
stacked	2	7.945555
stacking	2	7.945555
stage	30	5.237505
stages	1	8.638703
stagger	1	8.638703
stain	1	8.638703
staining	2	7.945555
stainless	8	6.559261
stale	11	6.240807
stalk	44	4.854513
stalks	83	4.219862
stamp	4	7.252408
standard	11	6.240807
stands	3	7.540090
star	25	5.419827
starbucks	3	7.540090
starch	39	4.975141
starches	1	8.638703
starchy	4	7.252408
stars	1	8.638703
startch	1	8.638703
starter	12	6.153796
starters	1	8.638703
startin	1	8.638703
starts	75	4.321214
state	3	7.540090
stated	5	7.029265
stately	1	8.638703
states	3	7.540090
station	1	8.638703
stayng	1	8.638703
stays	2	7.945555
steadily	1	8.638703
steady	7	6.692792
steak	197	3.355499
steakhouse	7	6.692792
steaks	146	3.655096
steal	2	7.945555
steam	90	4.138893
steamed	56	4.613351
steamer	11	6.240807
steaming	9	6.441478
steamy	1	8.638703
steel	13	6.073753
steep	12	6.153796
stem	31	5.204715
stemmed	23	5.503208
stems	82	4.231983
step	58	4.578260
steps	21	5.594180
steril	1	8.638703
sterile	4	7.252408
sterilise	1	8.638703
sterilize	3	7.540090
sterilized	17	5.805489
sterilsed	1	8.638703
sterilze	1	8.638703
sterlized	1	8.638703
steve	1	8.638703
stevia	7	6.692792
stew	109	3.947355
stewart	3	7.540090
stewed	39	4.975141
stewing	14	5.999645
stewpot	1	8.638703
stews	4	7.252408
stick	290	2.968822
stickers	1	8.638703
stickiness	1	8.638703
sticking	52	4.687459
sticks	66	4.449048
sticky	78	4.281994
stiff	116	3.885112
stiffen	1	8.638703
stiffened	1	8.638703
stiffens	1	8.638703
stiffer	3	7.540090
stiffly	4	7.252408
still	201	3.335398
stilla	1	8.638703
stilton	8	6.559261
stingy	1	8.638703
stip	1	8.638703
stips	2	7.945555
stir	2333	0.883792
stire	1	8.638703
stirfry	4	7.252408
stiring	2	7.945555
stirr	2	7.945555
stirred	13	6.073753
stirring	954	1.778039
stirrring	1	8.638703
stiry	1	8.638703
stmes	1	8.638703
stock	405	2.634816
stockpot	15	5.930652
stone	18	5.748331
stoneground	1	8.638703
stones	3	7.540090
stonewall	1	8.638703
stoneware	5	7.029265
stops	6	6.846943
storage	16	5.866114
store	238	3.166432
stored	25	5.419827
stores	3	7.540090
storing	5	7.029265
stoup	1	8.638703
stout	10	6.336118
stove	92	4.116914
stoves	1	8.638703
stovetop	9	6.441478
straight	16	5.866114
straightaway	2	7.945555
strain	98	4.053735
strained	8	6.559261
strainer	26	5.380606
straiten	1	8.638703
strand	1	8.638703
strands	13	6.073753
straps	1	8.638703
strata	2	7.945555
straw	7	6.692792
strawberries	98	4.053735
strawberriesheat	1	8.638703
strawberry	97	4.063992
straws	1	8.638703
stray	1	8.638703
streak	1	8.638703
streaks	5	7.029265
streaky	5	7.029265
stream	24	5.460649
streamers	1	8.638703
streams	1	8.638703
street	2	7.945555
strength	7	6.692792
strengthens	1	8.638703
stress	2	7.945555
stretch	10	6.336118
stretched	1	8.638703
stretches	2	7.945555
stretching	4	7.252408
stretchy	1	8.638703
streusel	21	5.594180
streusels	1	8.638703
strictly	1	8.638703
strikes	1	8.638703
string	22	5.547660
stringed	1	8.638703
strings	8	6.559261
stringy	6	6.846943
strip	31	5.204715
stripe	1	8.638703
striped	1	8.638703
stripes	2	7.945555
stripped	2	7.945555
strips	256	3.093525
stroganoff	11	6.240807
strokes	8	6.559261
stromboli	2	7.945555
strong	28	5.306498
stronger	6	6.846943
strongly	2	7.945555
strudel	3	7.540090
stubborn	1	8.638703
stuck	7	6.692792
stud	2	7.945555
study	1	8.638703
stuff	77	4.294897
stuffed	104	3.994312
stuffing	64	4.479820
stuffings	1	8.638703
stupid	1	8.638703
sturdy	7	6.692792
style	206	3.310826
su	1	8.638703
suace	1	8.638703
suagar	1	8.638703
sub	17	5.805489
subbed	1	8.638703
subbing	2	7.945555
subject	2	7.945555
subjective	1	8.638703
submarine	2	7.945555
submerge	4	7.252408
submerged	4	7.252408
subs	3	7.540090
subsequent	1	8.638703
subside	3	7.540090
subsided	1	8.638703
subsides	5	7.029265
subsitute	1	8.638703
subsitutes	1	8.638703
subsituting	1	8.638703
substition	1	8.638703
substitiuted	1	8.638703
substitte	1	8.638703
substitued	1	8.638703
substitute	186	3.412956
substituted	19	5.694264
substitutes	12	6.153796
substituting	3	7.540090
substitution	6	6.846943
substitutions	7	6.692792
subtle	1	8.638703
subway	1	8.638703
sucanat	2	7.945555
success	4	7.252408
successive	1	8.638703
successively	1	8.638703
succotash	1	8.638703
such	79	4.269255
suck	1	8.638703
sucker	1	8.638703
suds	1	8.638703
sudsy	1	8.638703
sue	1	8.638703
suet	7	6.692792
suey	3	7.540090
suffer	3	7.540090
suffice	2	7.945555
sufficent	1	8.638703
sufficient	8	6.559261
sufficiently	4	7.252408
sufganiot	1	8.638703
sugar	3608	0.447794
sugared	1	8.638703
sugarl	1	8.638703
sugarless	1	8.638703
sugars	66	4.449048
sugart	1	8.638703
sugary	2	7.945555
sugat	1	8.638703
suggestion	3	7.540090
suggestions	5	7.029265
suggests	2	7.945555
suit	18	5.748331
suitable	3	7.540090
suited	1	8.638703
suites	1	8.638703
suits	3	7.540090
suizas	1	8.638703
sukhi	1	8.638703
sukiyaki	1	8.638703
sulphured	1	8.638703
sultana	5	7.029265
sultanas	3	7.540090
sumac	3	7.540090
sumaq	2	7.945555
sumburger	1	8.638703
summer	15	5.930652
sun	57	4.595651
sunday	4	7.252408
sundried	9	6.441478
sundrop	3	7.540090
sunflower	56	4.613351
sunflowers	1	8.638703
sunk	1	8.638703
sunlight	1	8.638703
sunmaid	2	7.945555
sunny	1	8.638703
sunshine	1	8.638703
super	31	5.204715
superb	3	7.540090
superfine	12	6.153796
superior	1	8.638703
supermarkets	1	8.638703
supper	10	6.336118
supple	2	7.945555
supplement	1	8.638703
supplies	1	8.638703
supposed	2	7.945555
supreme	10	6.336118
sure	231	3.196285
surface	242	3.149765
surfaces	5	7.029265
surfacesof	1	8.638703
surimi	3	7.540090
surprise	9	6.441478
surprisingly	1	8.638703
surround	6	6.846943
surrounded	1	8.638703
surrounding	3	7.540090
susan	4	7.252408
sushi	4	7.252408
suspend	1	8.638703
sustantial	1	8.638703
sustitutions	1	8.638703
suzette	1	8.638703
suzy	1	8.638703
svella	1	8.638703
swab	1	8.638703
swank	1	8.638703
swanson	4	7.252408
swap	3	7.540090
swapping	1	8.638703
swear	1	8.638703
sweat	20	5.642970
sweated	1	8.638703
sweating	2	7.945555
swede	5	7.029265
swedish	8	6.559261
sweet	555	2.319734
sweeten	10	6.336118
sweetened	105	3.984742
sweetener	17	5.805489
sweeteners	1	8.638703
sweetens	1	8.638703
sweeter	10	6.336118
sweetner	4	7.252408
sweetness	17	5.805489
sweets	2	7.945555
swell	2	7.945555
swift	1	8.638703
swig	2	7.945555
swigs	1	8.638703
swill	1	8.638703
swimming	1	8.638703
swirl	34	5.112342
swirled	2	7.945555
swirling	11	6.240807
swirls	3	7.540090
swish	2	7.945555
swishing	1	8.638703
swiss	103	4.003974
switch	7	6.692792
switches	2	7.945555
switching	2	7.945555
swordfish	3	7.540090
sy	2	7.945555
sylvia	1	8.638703
sylvie	1	8.638703
symbolizing	1	8.638703
symilk	1	8.638703
symmetrical	1	8.638703
syrian	1	8.638703
syrop	1	8.638703
syrup	386	2.682865
syrups	1	8.638703
syrupy	9	6.441478
system	3	7.540090
szechuan	6	6.846943
szechwan	2	7.945555
taaste	1	8.638703
tabak	1	8.638703
tabascio	1	8.638703
tabasco	110	3.938222
tablas	1	8.638703
table	56	4.613351
tablecloth	1	8.638703
tablespons	1	8.638703
tablespoon	2223	0.932090
tablespoonful	12	6.153796
tablespoonfull	1	8.638703
tablespoonfuls	13	6.073753
tablespoons	3121	0.592794
tablespooon	1	8.638703
tablesppon	1	8.638703
tablet	3	7.540090
tabsp	1	8.638703
tacky	3	7.540090
taco	131	3.763505
tacos	15	5.930652
tact	1	8.638703
tad	3	7.540090
taffy	2	7.945555
tag	1	8.638703
tagine	3	7.540090
tahina	1	8.638703
tahini	36	5.055184
tahou	1	8.638703
tail	8	6.559261
tailed	1	8.638703
tailgate	1	8.638703
tails	20	5.642970
taiyaki	2	7.945555
tajik	1	8.638703
takakau	1	8.638703
takeout	1	8.638703
takes	44	4.854513
talented	1	8.638703
talkin	1	8.638703
talking	1	8.638703
tall	20	5.642970
taller	1	8.638703
tallish	1	8.638703
tamale	9	6.441478
tamales	5	7.029265
tamari	19	5.694264
tamarind	20	5.642970
tamatim	1	8.638703
tamp	1	8.638703
tamped	1	8.638703
tamping	1	8.638703
tan	1	8.638703
tandoori	4	7.252408
tandoory	1	8.638703
tang	4	7.252408
tangerine	5	7.029265
tangerines	4	7.252408
tangle	1	8.638703
tangy	12	6.153796
tanned	1	8.638703
tannins	1	8.638703
tap	24	5.460649
tapas	1	8.638703
tapenade	3	7.540090
tapering	1	8.638703
tapioca	32	5.172967
tapped	5	7.029265
tapping	4	7.252408
taquitos	3	7.540090
taragon	2	7.945555
tararua	1	8.638703
tarragon	59	4.561165
tart	48	4.767502
tartar	78	4.281994
tartare	2	7.945555
tarte	1	8.638703
tarter	2	7.945555
tartine	1	8.638703
tartlet	1	8.638703
tartlets	2	7.945555
tarts	12	6.153796
tase	1	8.638703
taste	1079	1.654913
tasted	2	7.945555
tasteeos	1	8.638703
tastes	23	5.503208
tastier	1	8.638703
tastiest	1	8.638703
tasting	6	6.846943
tasts	1	8.638703
tasty	30	5.237505
tater	11	6.240807
taters	4	7.252408
tatertots	1	8.638703
tatiana	1	8.638703
tatizas	1	8.638703
taut	1	8.638703
tautness	1	8.638703
tb	1	8.638703
tbl	4	7.252408
tbls	14	5.999645
tblsp	7	6.692792
tbps	1	8.638703
tbs	44	4.854513
tbsl	1	8.638703
tbsp	168	3.514739
tbsps	3	7.540090
tea	88	4.161366
teal	1	8.638703
tear	25	5.419827
tearing	4	7.252408
tears	2	7.945555
teaspon	1	8.638703
teaspoon	3720	0.417224
teaspoonful	6	6.846943
teaspoonfuls	31	5.204715
teaspoons	1597	1.262820
teaspoonsful	2	7.945555
technically	1	8.638703
technique	4	7.252408
teel	1	8.638703
teenaged	2	7.945555
teens	1	8.638703
teeny	1	8.638703
teeth	3	7.540090
teff	5	7.029265
teflon	2	7.945555
tegether	1	8.638703
teh	2	7.945555
tehehe	1	8.638703
